FIPS,County,Population Estimate 2014
1127,"Walker County, Alabama",65564
1129,"Washington County, Alabama",16891
1131,"Wilcox County, Alabama",11028
1133,"Winston County, Alabama",24083
2013,"Aleutians East Borough, Alaska",3296
2016,"Aleutians West Census Area, Alaska",5780
2020,"Anchorage Municipality, Alaska",300429
2050,"Bethel Census Area, Alaska",17959
2060,"Bristol Bay Borough, Alaska",942
2068,"Denali Borough, Alaska",1907
2070,"Dillingham Census Area, Alaska",4989
2090,"Fairbanks North Star Borough, Alaska",99295
2100,"Haines Borough, Alaska",2537
2105,"Hoonah-Angoon Census Area, Alaska",2081
2110,"Juneau City and Borough, Alaska",32511
2122,"Kenai Peninsula Borough, Alaska",57626
2130,"Ketchikan Gateway Borough, Alaska",13758
2150,"Kodiak Island Borough, Alaska",13953
2158,"Kusilvak Census Area, Alaska",8063
2164,"Lake and Peninsula Borough, Alaska",1628
2170,"Matanuska-Susitna Borough, Alaska",98196
2180,"Nome Census Area, Alaska",9834
2185,"North Slope Borough, Alaska",9708
2188,"Northwest Arctic Borough, Alaska",7744
2195,"Petersburg Borough, Alaska",3175
2198,"Prince of Wales-Hyder Census Area, Alaska",6393
2220,"Sitka City and Borough, Alaska",8883
2230,"Skagway Municipality, Alaska",1031
2240,"Southeast Fairbanks Census Area, Alaska",6968
2261,"Valdez-Cordova Census Area, Alaska",9453
2275,"Wrangell City and Borough, Alaska",2376
2282,"Yakutat City and Borough, Alaska",642
2290,"Yukon-Koyukuk Census Area, Alaska",5548
4001,"Apache County, Arizona",72034
4003,"Cochise County, Arizona",127321
4005,"Coconino County, Arizona",137695
4007,"Gila County, Arizona",53124
4009,"Graham County, Arizona",38013
4011,"Greenlee County, Arizona",9315
4012,"La Paz County, Arizona",20313
4013,"Maricopa County, Arizona",4083931
4015,"Mohave County, Arizona",202985
4017,"Navajo County, Arizona",108178
4019,"Pima County, Arizona",1003157
4021,"Pinal County, Arizona",396024
4023,"Santa Cruz County, Arizona",46387
4025,"Yavapai County, Arizona",218405
4027,"Yuma County, Arizona",203111
5001,"Arkansas County, Arkansas",18502
5003,"Ashley County, Arkansas",20920
5005,"Baxter County, Arkansas",40797
5007,"Benton County, Arkansas",243991
5009,"Boone County, Arkansas",37206
5011,"Bradley County, Arkansas",11024
5013,"Calhoun County, Arkansas",5175
5015,"Carroll County, Arkansas",27742
5017,"Chicot County, Arkansas",11196
5019,"Clark County, Arkansas",22663
5021,"Clay County, Arkansas",15143
5023,"Cleburne County, Arkansas",25670
5025,"Cleveland County, Arkansas",8410
5027,"Columbia County, Arkansas",24078
5029,"Conway County, Arkansas",21019
5031,"Craighead County, Arkansas",102621
5033,"Crawford County, Arkansas",61840
5035,"Crittenden County, Arkansas",49538
5037,"Cross County, Arkansas",17182
5039,"Dallas County, Arkansas",7735
5041,"Desha County, Arkansas",12245
5043,"Drew County, Arkansas",18669
5045,"Faulkner County, Arkansas",120683
5047,"Franklin County, Arkansas",17767
5049,"Fulton County, Arkansas",12130
5051,"Garland County, Arkansas",97183
5053,"Grant County, Arkansas",18059
5055,"Greene County, Arkansas",43717
5057,"Hempstead County, Arkansas",22289
5059,"Hot Spring County, Arkansas",33389
5061,"Howard County, Arkansas",13488
5063,"Independence County, Arkansas",37113
5065,"Izard County, Arkansas",13508
5067,"Jackson County, Arkansas",17565
5069,"Jefferson County, Arkansas",72376
5071,"Johnson County, Arkansas",25998
5073,"Lafayette County, Arkansas",7119
5075,"Lawrence County, Arkansas",16987
5077,"Lee County, Arkansas",9798
5079,"Lincoln County, Arkansas",13967
5081,"Little River County, Arkansas",12525
5083,"Logan County, Arkansas",21959
5085,"Lonoke County, Arkansas",71563
5087,"Madison County, Arkansas",15714
5089,"Marion County, Arkansas",16421
5091,"Miller County, Arkansas",43556
5093,"Mississippi County, Arkansas",44243
5095,"Monroe County, Arkansas",7612
5097,"Montgomery County, Arkansas",9107
5099,"Nevada County, Arkansas",8689
5101,"Newton County, Arkansas",7914
5103,"Ouachita County, Arkansas",24799
5105,"Perry County, Arkansas",10244
5107,"Phillips County, Arkansas",19938
5109,"Pike County, Arkansas",11002
5111,"Poinsett County, Arkansas",24155
5113,"Polk County, Arkansas",20252
5115,"Pope County, Arkansas",63094
5117,"Prairie County, Arkansas",8314
5119,"Pulaski County, Arkansas",392633
5121,"Randolph County, Arkansas",17540
5123,"St. Francis County, Arkansas",27026
5125,"Saline County, Arkansas",115780
5127,"Scott County, Arkansas",10659
5129,"Searcy County, Arkansas",7908
5131,"Sebastian County, Arkansas",126827
5133,"Sevier County, Arkansas",17377
5135,"Sharp County, Arkansas",16904
5137,"Stone County, Arkansas",12445
5139,"Union County, Arkansas",40158
5141,"Van Buren County, Arkansas",16893
5143,"Washington County, Arkansas",219891
5145,"White County, Arkansas",78532
5147,"Woodruff County, Arkansas",6886
5149,"Yell County, Arkansas",21850
6001,"Alameda County, California",1608868
6003,"Alpine County, California",1104
6005,"Amador County, California",36739
6007,"Butte County, California",223974
6009,"Calaveras County, California",44589
6011,"Colusa County, California",21256
6013,"Contra Costa County, California",1108996
6015,"Del Norte County, California",27252
6017,"El Dorado County, California",183031
6019,"Fresno County, California",963151
6021,"Glenn County, California",27982
6023,"Humboldt County, California",134665
6025,"Imperial County, California",178866
6027,"Inyo County, California",18410
6029,"Kern County, California",872138
6031,"Kings County, California",149669
6033,"Lake County, California",64099
6035,"Lassen County, California",31714
6037,"Los Angeles County, California",10066615
6039,"Madera County, California",154071
6041,"Marin County, California",260516
6043,"Mariposa County, California",17658
6045,"Mendocino County, California",87449
6047,"Merced County, California",265139
6049,"Modoc County, California",9010
6051,"Mono County, California",14045
6053,"Monterey County, California",429902
6055,"Napa County, California",141097
6057,"Nevada County, California",98796
6059,"Orange County, California",3134438
6061,"Placer County, California",370486
6063,"Plumas County, California",18573
6065,"Riverside County, California",2322455
6067,"Sacramento County, California",1478137
6069,"San Benito County, California",58098
6071,"San Bernardino County, California",2105935
6073,"San Diego County, California",3258856
6075,"San Francisco County, California",850424
6077,"San Joaquin County, California",713218
6079,"San Luis Obispo County, California",278877
6081,"San Mateo County, California",756819
6083,"Santa Barbara County, California",440553
6085,"Santa Clara County, California",1889824
6087,"Santa Cruz County, California",270971
6089,"Shasta County, California",179717
6091,"Sierra County, California",2983
6093,"Siskiyou County, California",43476
6095,"Solano County, California",429601
6097,"Sonoma County, California",499168
6099,"Stanislaus County, California",529754
6101,"Sutter County, California",95236
6103,"Tehama County, California",62756
6105,"Trinity County, California",13121
6107,"Tulare County, California",456115
6109,"Tuolumne County, California",53827
6111,"Ventura County, California",844078
6113,"Yolo County, California",208737
6115,"Yuba County, California",73776
8001,"Adams County, Colorado",480446
8003,"Alamosa County, Colorado",16284
8005,"Arapahoe County, Colorado",618307
8007,"Archuleta County, Colorado",12229
8009,"Baca County, Colorado",3630
8011,"Bent County, Colorado",5780
8013,"Boulder County, Colorado",313204
8014,"Broomfield County, Colorado",61786
8015,"Chaffee County, Colorado",18448
8017,"Cheyenne County, Colorado",1841
8019,"Clear Creek County, Colorado",9215
8021,"Conejos County, Colorado",8276
8023,"Costilla County, Colorado",3540
8025,"Crowley County, Colorado",5608
8027,"Custer County, Colorado",4344
8029,"Delta County, Colorado",29961
8031,"Denver County, Colorado",662425
8033,"Dolores County, Colorado",1975
8035,"Douglas County, Colorado",314981
8037,"Eagle County, Colorado",52815
8039,"Elbert County, Colorado",24128
8041,"El Paso County, Colorado",662647
8043,"Fremont County, Colorado",46427
8045,"Garfield County, Colorado",57195
8047,"Gilpin County, Colorado",5773
8049,"Grand County, Colorado",14461
8051,"Gunnison County, Colorado",15830
8053,"Hinsdale County, Colorado",778
8055,"Huerfano County, Colorado",6407
8057,"Jackson County, Colorado",1395
8059,"Jefferson County, Colorado",559076
8061,"Kiowa County, Colorado",1409
8063,"Kit Carson County, Colorado",8054
8065,"Lake County, Colorado",7351
8067,"La Plata County, Colorado",53882
8069,"Larimer County, Colorado",324709
8071,"Las Animas County, Colorado",14072
8073,"Lincoln County, Colorado",5507
8075,"Logan County, Colorado",21940
8077,"Mesa County, Colorado",147502
8079,"Mineral County, Colorado",693
8081,"Moffat County, Colorado",12899
8083,"Montezuma County, Colorado",25783
8085,"Montrose County, Colorado",40747
8087,"Morgan County, Colorado",28208
8089,"Otero County, Colorado",18407
8091,"Ouray County, Colorado",4615
8093,"Park County, Colorado",16296
8095,"Phillips County, Colorado",4380
8097,"Pitkin County, Colorado",17595
8099,"Prowers County, Colorado",12040
8101,"Pueblo County, Colorado",161350
8103,"Rio Blanco County, Colorado",6660
8105,"Rio Grande County, Colorado",11561
8107,"Routt County, Colorado",24054
8109,"Saguache County, Colorado",6161
8111,"San Juan County, Colorado",717
8113,"San Miguel County, Colorado",7755
8115,"Sedgwick County, Colorado",2330
8117,"Summit County, Colorado",29205
8119,"Teller County, Colorado",23375
8121,"Washington County, Colorado",4784
8123,"Weld County, Colorado",276163
8125,"Yuma County, Colorado",10232
9001,"Fairfield County, Connecticut",943686
9003,"Hartford County, Connecticut",896258
9005,"Litchfield County, Connecticut",185110
9007,"Middlesex County, Connecticut",164555
9009,"New Haven County, Connecticut",861534
9011,"New London County, Connecticut",272053
9013,"Tolland County, Connecticut",151758
9015,"Windham County, Connecticut",116919
10001,"Kent County, Delaware",171949
10003,"New Castle County, Delaware",552271
10005,"Sussex County, Delaware",210728
11001,"District of Columbia, District of Columbia",659005
12001,"Alachua County, Florida",255786
12003,"Baker County, Florida",27143
12005,"Bay County, Florida",178860
12007,"Bradford County, Florida",26682
12009,"Brevard County, Florida",557299
12011,"Broward County, Florida",1865385
12013,"Calhoun County, Florida",14510
12015,"Charlotte County, Florida",168595
12017,"Citrus County, Florida",139264
12019,"Clay County, Florida",199501
12021,"Collier County, Florida",347899
12023,"Columbia County, Florida",67942
12027,"DeSoto County, Florida",35094
12029,"Dixie County, Florida",15904
12031,"Duval County, Florida",898372
12033,"Escambia County, Florida",309449
12035,"Flagler County, Florida",102471
12037,"Franklin County, Florida",11678
12039,"Gadsden County, Florida",46121
12041,"Gilchrist County, Florida",16973
12043,"Glades County, Florida",13439
12045,"Gulf County, Florida",15936
12047,"Hamilton County, Florida",14068
12049,"Hardee County, Florida",27264
12051,"Hendry County, Florida",38294
12053,"Hernando County, Florida",175695
12055,"Highlands County, Florida",98085
12057,"Hillsborough County, Florida",1317116
12059,"Holmes County, Florida",19640
12061,"Indian River County, Florida",144740
12063,"Jackson County, Florida",48786
12065,"Jefferson County, Florida",14037
12067,"Lafayette County, Florida",8832
12069,"Lake County, Florida",315657
12071,"Lee County, Florida",678048
12073,"Leon County, Florida",284053
12075,"Levy County, Florida",39418
12077,"Liberty County, Florida",8345
12079,"Madison County, Florida",18516
12081,"Manatee County, Florida",351713
12083,"Marion County, Florida",339079
12085,"Martin County, Florida",153272
12086,"Miami-Dade County, Florida",2667299
12087,"Monroe County, Florida",76910
12089,"Nassau County, Florida",76598
12091,"Okaloosa County, Florida",195479
12093,"Okeechobee County, Florida",39101
12095,"Orange County, Florida",1253631
12097,"Osceola County, Florida",311445
12099,"Palm Beach County, Florida",1397526
12101,"Pasco County, Florida",485447
12103,"Pinellas County, Florida",937457
12105,"Polk County, Florida",634932
12107,"Putnam County, Florida",71936
12109,"St. Johns County, Florida",218151
12111,"St. Lucie County, Florida",291002
12113,"Santa Rosa County, Florida",163154
12115,"Sarasota County, Florida",396537
12117,"Seminole County, Florida",442326
12119,"Sumter County, Florida",114012
12121,"Suwannee County, Florida",43777
12123,"Taylor County, Florida",22619
12125,"Union County, Florida",15170
12127,"Volusia County, Florida",507913
12129,"Wakulla County, Florida",31384
12131,"Walton County, Florida",61550
12133,"Washington County, Florida",24424
13001,"Appling County, Georgia",18456
13003,"Atkinson County, Georgia",8203
13005,"Bacon County, Georgia",11213
13007,"Baker County, Georgia",3258
13009,"Baldwin County, Georgia",45839
13011,"Banks County, Georgia",18284
13013,"Barrow County, Georgia",72982
13015,"Bartow County, Georgia",101675
13017,"Ben Hill County, Georgia",17440
13019,"Berrien County, Georgia",18790
13021,"Bibb County, Georgia",153914
13023,"Bleckley County, Georgia",12754
13025,"Brantley County, Georgia",18390
13027,"Brooks County, Georgia",15534
13029,"Bryan County, Georgia",33847
13031,"Bulloch County, Georgia",72735
13033,"Burke County, Georgia",22709
13035,"Butts County, Georgia",23377
13037,"Calhoun County, Georgia",6423
13039,"Camden County, Georgia",52012
13043,"Candler County, Georgia",10888
13045,"Carroll County, Georgia",114052
13047,"Catoosa County, Georgia",65585
13049,"Charlton County, Georgia",12921
13051,"Chatham County, Georgia",282849
13053,"Chattahoochee County, Georgia",11956
13055,"Chattooga County, Georgia",24849
13057,"Cherokee County, Georgia",230578
13059,"Clarke County, Georgia",120634
13061,"Clay County, Georgia",3100
13063,"Clayton County, Georgia",267576
13065,"Clinch County, Georgia",6824
13067,"Cobb County, Georgia",729146
13069,"Coffee County, Georgia",42891
13071,"Colquitt County, Georgia",46085
13073,"Columbia County, Georgia",139281
13075,"Cook County, Georgia",17296
13077,"Coweta County, Georgia",135435
13079,"Crawford County, Georgia",12479
13081,"Crisp County, Georgia",22950
13083,"Dade County, Georgia",16326
13085,"Dawson County, Georgia",22891
13087,"Decatur County, Georgia",27269
13089,"DeKalb County, Georgia",722615
13091,"Dodge County, Georgia",20969
13093,"Dooly County, Georgia",14124
13095,"Dougherty County, Georgia",92527
13097,"Douglas County, Georgia",138447
13099,"Early County, Georgia",10448
13101,"Echols County, Georgia",4067
13103,"Effingham County, Georgia",55506
13105,"Elbert County, Georgia",19410
13107,"Emanuel County, Georgia",22675
13109,"Evans County, Georgia",10827
13111,"Fannin County, Georgia",23709
13113,"Fayette County, Georgia",109550
13115,"Floyd County, Georgia",96061
13117,"Forsyth County, Georgia",203679
13119,"Franklin County, Georgia",22247
13121,"Fulton County, Georgia",994342
13123,"Gilmer County, Georgia",28867
13125,"Glascock County, Georgia",3029
13127,"Glynn County, Georgia",82353
13129,"Gordon County, Georgia",55800
13131,"Grady County, Georgia",25265
13133,"Greene County, Georgia",16485
13135,"Gwinnett County, Georgia",875418
13137,"Habersham County, Georgia",43688
13139,"Hall County, Georgia",190215
13141,"Hancock County, Georgia",8542
13143,"Haralson County, Georgia",28604
13145,"Harris County, Georgia",32853
13147,"Hart County, Georgia",25419
13149,"Heard County, Georgia",11623
13151,"Henry County, Georgia",213439
13153,"Houston County, Georgia",149236
13155,"Irwin County, Georgia",9133
13157,"Jackson County, Georgia",61700
13159,"Jasper County, Georgia",13469
13161,"Jeff Davis County, Georgia",14853
13163,"Jefferson County, Georgia",16261
13165,"Jenkins County, Georgia",9091
13167,"Johnson County, Georgia",9685
13169,"Jones County, Georgia",28811
13171,"Lamar County, Georgia",18223
13173,"Lanier County, Georgia",10346
13175,"Laurens County, Georgia",47814
13177,"Lee County, Georgia",29216
13179,"Liberty County, Georgia",65153
13181,"Lincoln County, Georgia",7589
13183,"Long County, Georgia",17172
13185,"Lowndes County, Georgia",113838
13187,"Lumpkin County, Georgia",31149
13189,"McDuffie County, Georgia",21558
13191,"McIntosh County, Georgia",14007
13193,"Macon County, Georgia",13819
13195,"Madison County, Georgia",28366
13197,"Marion County, Georgia",8693
13199,"Meriwether County, Georgia",21192
13201,"Miller County, Georgia",5925
13205,"Mitchell County, Georgia",22774
13207,"Monroe County, Georgia",27075
13209,"Montgomery County, Georgia",8997
13211,"Morgan County, Georgia",17985
13213,"Murray County, Georgia",39355
13215,"Muscogee County, Georgia",201245
13217,"Newton County, Georgia",103790
13219,"Oconee County, Georgia",35073
13221,"Oglethorpe County, Georgia",14714
13223,"Paulding County, Georgia",148962
13225,"Peach County, Georgia",26838
13227,"Pickens County, Georgia",29981
13229,"Pierce County, Georgia",19005
13231,"Pike County, Georgia",17748
13233,"Polk County, Georgia",40967
13235,"Pulaski County, Georgia",11456
13237,"Putnam County, Georgia",21125
13239,"Quitman County, Georgia",2300
13241,"Rabun County, Georgia",16211
13243,"Randolph County, Georgia",7283
13245,"Richmond County, Georgia",201117
13247,"Rockdale County, Georgia",87516
13249,"Schley County, Georgia",5143
13251,"Screven County, Georgia",14029
13253,"Seminole County, Georgia",8628
13255,"Spalding County, Georgia",63860
13257,"Stephens County, Georgia",25414
13259,"Stewart County, Georgia",5819
13261,"Sumter County, Georgia",31203
13263,"Talbot County, Georgia",6381
13265,"Taliaferro County, Georgia",1689
13267,"Tattnall County, Georgia",25195
13269,"Taylor County, Georgia",8428
13271,"Telfair County, Georgia",16497
13273,"Terrell County, Georgia",9128
13275,"Thomas County, Georgia",45052
13277,"Tift County, Georgia",40610
13279,"Toombs County, Georgia",27121
13281,"Towns County, Georgia",11075
13283,"Treutlen County, Georgia",6769
13285,"Troup County, Georgia",69451
13287,"Turner County, Georgia",8061
13289,"Twiggs County, Georgia",8351
13291,"Union County, Georgia",21940
13293,"Upson County, Georgia",26229
13295,"Walker County, Georgia",68289
13297,"Walton County, Georgia",87610
13299,"Ware County, Georgia",35578
13301,"Warren County, Georgia",5500
13303,"Washington County, Georgia",20629
13305,"Wayne County, Georgia",29972
13307,"Webster County, Georgia",2630
13309,"Wheeler County, Georgia",7960
13311,"White County, Georgia",28029
13313,"Whitfield County, Georgia",103498
13315,"Wilcox County, Georgia",8850
13317,"Wilkes County, Georgia",9930
13319,"Wilkinson County, Georgia",9343
13321,"Worth County, Georgia",21025
15001,"Hawaii County, Hawaii",193885
15003,"Honolulu County, Hawaii",988586
15005,"Kalawao County, Hawaii",89
15007,"Kauai County, Hawaii",70540
15009,"Maui County, Hawaii",163249
16001,"Ada County, Idaho",426420
16003,"Adams County, Idaho",3850
16005,"Bannock County, Idaho",83516
16007,"Bear Lake County, Idaho",5940
16009,"Benewah County, Idaho",9067
16011,"Bingham County, Idaho",45191
16013,"Blaine County, Idaho",21410
16015,"Boise County, Idaho",6793
16017,"Bonner County, Idaho",41511
16019,"Bonneville County, Idaho",108381
16021,"Boundary County, Idaho",10984
16023,"Butte County, Idaho",2609
16025,"Camas County, Idaho",1037
16027,"Canyon County, Idaho",202710
16029,"Caribou County, Idaho",6819
16031,"Cassia County, Idaho",23547
16033,"Clark County, Idaho",874
16035,"Clearwater County, Idaho",8503
16037,"Custer County, Idaho",4150
16039,"Elmore County, Idaho",26208
16041,"Franklin County, Idaho",12956
16043,"Fremont County, Idaho",12836
16045,"Gem County, Idaho",16807
16047,"Gooding County, Idaho",15060
16049,"Idaho County, Idaho",16221
16051,"Jefferson County, Idaho",26988
16053,"Jerome County, Idaho",22719
16055,"Kootenai County, Idaho",147294
16057,"Latah County, Idaho",38583
16059,"Lemhi County, Idaho",7732
16061,"Lewis County, Idaho",3826
16063,"Lincoln County, Idaho",5313
16065,"Madison County, Idaho",38060
16067,"Minidoka County, Idaho",20244
16069,"Nez Perce County, Idaho",39983
16071,"Oneida County, Idaho",4200
16073,"Owyhee County, Idaho",11294
16075,"Payette County, Idaho",22775
16077,"Power County, Idaho",7663
16079,"Shoshone County, Idaho",12404
16081,"Teton County, Idaho",10300
16083,"Twin Falls County, Idaho",80927
16085,"Valley County, Idaho",9808
16087,"Washington County, Idaho",10019
17001,"Adams County, Illinois",67031
17003,"Alexander County, Illinois",7074
17005,"Bond County, Illinois",17111
17007,"Boone County, Illinois",53706
17009,"Brown County, Illinois",6838
17011,"Bureau County, Illinois",33836
17013,"Calhoun County, Illinois",4963
17015,"Carroll County, Illinois",14786
17017,"Cass County, Illinois",13091
17019,"Champaign County, Illinois",206646
17021,"Christian County, Illinois",33882
17023,"Clark County, Illinois",16119
17025,"Clay County, Illinois",13413
17027,"Clinton County, Illinois",37801
17029,"Coles County, Illinois",52712
17031,"Cook County, Illinois",5239254
17033,"Crawford County, Illinois",19368
17035,"Cumberland County, Illinois",10894
17037,"DeKalb County, Illinois",104798
17039,"De Witt County, Illinois",16243
17041,"Douglas County, Illinois",19845
17043,"DuPage County, Illinois",932419
17045,"Edgar County, Illinois",17812
17047,"Edwards County, Illinois",6622
17049,"Effingham County, Illinois",34337
17051,"Fayette County, Illinois",22002
17053,"Ford County, Illinois",13704
17055,"Franklin County, Illinois",39485
17057,"Fulton County, Illinois",35951
17059,"Gallatin County, Illinois",5308
17061,"Greene County, Illinois",13402
17063,"Grundy County, Illinois",50409
17065,"Hamilton County, Illinois",8295
17067,"Hancock County, Illinois",18621
17069,"Hardin County, Illinois",4217
17071,"Henderson County, Illinois",6985
17073,"Henry County, Illinois",49673
17075,"Iroquois County, Illinois",28804
17077,"Jackson County, Illinois",59293
17079,"Jasper County, Illinois",9615
17081,"Jefferson County, Illinois",38442
17083,"Jersey County, Illinois",22523
17085,"Jo Daviess County, Illinois",22298
17087,"Johnson County, Illinois",12834
17089,"Kane County, Illinois",526636
17091,"Kankakee County, Illinois",111461
17093,"Kendall County, Illinois",121565
17095,"Knox County, Illinois",51953
17097,"Lake County, Illinois",703357
17099,"LaSalle County, Illinois",111933
17101,"Lawrence County, Illinois",16595
17103,"Lee County, Illinois",34789
17105,"Livingston County, Illinois",37116
17107,"Logan County, Illinois",29755
17109,"McDonough County, Illinois",31615
17111,"McHenry County, Illinois",306749
17113,"McLean County, Illinois",173843
17115,"Macon County, Illinois",108479
17117,"Macoupin County, Illinois",46381
17119,"Madison County, Illinois",266637
17121,"Marion County, Illinois",38486
17123,"Marshall County, Illinois",11990
17125,"Mason County, Illinois",13920
17127,"Massac County, Illinois",14881
17129,"Menard County, Illinois",12578
17131,"Mercer County, Illinois",15964
17133,"Monroe County, Illinois",33684
17135,"Montgomery County, Illinois",29424
17137,"Morgan County, Illinois",34729
17139,"Moultrie County, Illinois",14911
17141,"Ogle County, Illinois",52067
17143,"Peoria County, Illinois",187272
17145,"Perry County, Illinois",21558
17147,"Piatt County, Illinois",16438
17149,"Pike County, Illinois",15974
17151,"Pope County, Illinois",4241
17153,"Pulaski County, Illinois",5808
17155,"Putnam County, Illinois",5788
17157,"Randolph County, Illinois",33092
17159,"Richland County, Illinois",16107
17161,"Rock Island County, Illinois",146789
17163,"St. Clair County, Illinois",265587
17165,"Saline County, Illinois",24580
17167,"Sangamon County, Illinois",198959
17169,"Schuyler County, Illinois",7238
17171,"Scott County, Illinois",5177
17173,"Shelby County, Illinois",22109
17175,"Stark County, Illinois",5836
17177,"Stephenson County, Illinois",46339
17179,"Tazewell County, Illinois",135567
17181,"Union County, Illinois",17463
17183,"Vermilion County, Illinois",79695
17185,"Wabash County, Illinois",11541
17187,"Warren County, Illinois",17809
17189,"Washington County, Illinois",14394
17191,"Wayne County, Illinois",16532
17193,"White County, Illinois",14343
17195,"Whiteside County, Illinois",57046
17197,"Will County, Illinois",685109
17199,"Williamson County, Illinois",67350
17201,"Winnebago County, Illinois",288639
17203,"Woodford County, Illinois",39204
18001,"Adams County, Indiana",34764
18003,"Allen County, Indiana",365361
18005,"Bartholomew County, Indiana",80182
18007,"Benton County, Indiana",8689
18009,"Blackford County, Indiana",12379
18011,"Boone County, Indiana",61820
18013,"Brown County, Indiana",14911
18015,"Carroll County, Indiana",19937
18017,"Cass County, Indiana",38381
18019,"Clark County, Indiana",114185
18021,"Clay County, Indiana",26486
18023,"Clinton County, Indiana",32610
18025,"Crawford County, Indiana",10628
18027,"Daviess County, Indiana",32697
18029,"Dearborn County, Indiana",49451
18031,"Decatur County, Indiana",26452
18033,"DeKalb County, Indiana",42461
18035,"Delaware County, Indiana",116612
18037,"Dubois County, Indiana",42341
18039,"Elkhart County, Indiana",201609
18041,"Fayette County, Indiana",23479
18043,"Floyd County, Indiana",76257
18045,"Fountain County, Indiana",16704
18047,"Franklin County, Indiana",22913
18049,"Fulton County, Indiana",20502
18051,"Gibson County, Indiana",33833
18053,"Grant County, Indiana",68505
18055,"Greene County, Indiana",32720
18057,"Hamilton County, Indiana",303065
18059,"Hancock County, Indiana",71933
18061,"Harrison County, Indiana",39255
18063,"Hendricks County, Indiana",156059
18065,"Henry County, Indiana",49057
18067,"Howard County, Indiana",82739
18069,"Huntington County, Indiana",36658
18071,"Jackson County, Indiana",43717
18073,"Jasper County, Indiana",33481
18075,"Jay County, Indiana",21143
18077,"Jefferson County, Indiana",32531
18079,"Jennings County, Indiana",27985
18081,"Johnson County, Indiana",147346
18083,"Knox County, Indiana",38021
18085,"Kosciusko County, Indiana",78619
18087,"LaGrange County, Indiana",38450
18089,"Lake County, Indiana",490572
18091,"LaPorte County, Indiana",111665
18093,"Lawrence County, Indiana",45611
18095,"Madison County, Indiana",129886
18097,"Marion County, Indiana",934212
18099,"Marshall County, Indiana",46938
18101,"Martin County, Indiana",10196
18103,"Miami County, Indiana",36031
18105,"Monroe County, Indiana",143462
18107,"Montgomery County, Indiana",38043
18109,"Morgan County, Indiana",69596
18111,"Newton County, Indiana",14086
18113,"Noble County, Indiana",47610
18115,"Ohio County, Indiana",6014
18117,"Orange County, Indiana",19645
18119,"Owen County, Indiana",21004
18121,"Parke County, Indiana",17207
18123,"Perry County, Indiana",19359
18125,"Pike County, Indiana",12561
18127,"Porter County, Indiana",167336
18129,"Posey County, Indiana",25538
18131,"Pulaski County, Indiana",12965
18133,"Putnam County, Indiana",37745
18135,"Randolph County, Indiana",25336
18137,"Ripley County, Indiana",28549
18139,"Rush County, Indiana",16859
18141,"St. Joseph County, Indiana",267620
18143,"Scott County, Indiana",23661
18145,"Shelby County, Indiana",44487
18147,"Spencer County, Indiana",20818
18149,"Starke County, Indiana",23011
18151,"Steuben County, Indiana",34427
18153,"Sullivan County, Indiana",21013
